_dataset,_file,model,trial,n_cases,score_mean,score_sd_cases,hallucination_rate,empty_rate,e2e_median_ms,e2e_p90_ms,ttft_median_ms,temperature,num_ctx,num_predict,top_p,repeat_penalty,nonhall_n,nonhall_score_mean,nonhall_score_sd_cases,pred_score_from_decomposition,decomposition_abs_error
results-gemma4,gemma4_e2b_20260531_205731.jsonl,gemma4:e2b,3,20,0.8752700000000001,0.21730436113530038,0.05,0.0,20583.55,27071.420000000002,16701.65,0.7063233020424546,2048,157,0.9581641017520801,1.0318508666017414,19.0,0.9213368421052632,0.07101800405942706,0.87527,1.1102230246251565e-16
results-gemma4,gemma4_e2b_20260531_205731.jsonl,gemma4:e2b,4,20,0.0,0.0,1.0,1.0,60000.0,60000.0,,0.22727747704497045,4096,96,0.855333536637628,1.091777934208357,,,,,
results-gemma4,gemma4_e2b_20260531_205731.jsonl,gemma4:e2b,5,20,0.0,0.0,1.0,1.0,60000.0,60000.0,,0.1976457024564293,4096,136,0.8379380186100884,1.0771351657620416,,,,,
results-gemma4,gemma4_e2b_20260531_205731.jsonl,gemma4:e2b,6,20,0.0,0.0,1.0,1.0,60000.0,60000.0,,0.5146901982034298,2048,55,0.9802882520781333,1.144844804961184,,,,,
results-gemma4,gemma4_e2b_20260601_000052.jsonl,gemma4:e2b,1,3,0.0,0.0,1.0,1.0,60000.0,60000.0,,0.36217808319315375,1024,115,0.829643541684063,1.0233991780504303,,,,,
results-gemma4,gemma4_e2b_20260601_001113.jsonl,gemma4:e2b,1,3,0.0,0.0,1.0,1.0,60000.0,60000.0,,0.36217808319315375,1024,115,0.829643541684063,1.0233991780504303,,,,,
results-selected-9.05,gemma2_2b_20260509_225356.jsonl,gemma2:2b,1,20,0.75404,0.3494225708975189,0.15,0.0,21082.0,26798.09,17853.6,0.36217808319315375,1024,65,0.8296389588638785,1.0087125418252298,17.0,0.8871058823529412,0.1398853480112742,0.75404,0.0
results-selected-9.05,gemma2_2b_20260509_225356.jsonl,gemma2:2b,2,20,0.71861,0.3865555722286934,0.2,0.0,20814.35,27142.95,17999.75,0.7063233020424546,2048,157,0.9581641017520801,1.0318508666017414,16.0,0.8982625,0.1309140525943134,0.71861,0.0
results-selected-9.05,gemma2_2b_20260509_225356.jsonl,gemma2:2b,3,20,0.76445,0.3444733822120826,0.15,0.0,21825.35,26960.53,17984.4,0.22727747704497045,4096,96,0.855333536637628,1.091777934208357,17.0,0.8993529411764706,0.10955741712480639,0.76445,0.0
results-selected-9.05,gemma2_2b_20260509_225356.jsonl,gemma2:2b,4,20,0.71977,0.3825763413325089,0.2,0.0,21858.25,27723.720000000005,17783.1,0.1976457024564293,4096,136,0.8379380186100884,1.0771351657620416,16.0,0.8997125,0.11271918425893614,0.71977,0.0
results-selected-9.05,gemma2_2b_20260509_225356.jsonl,gemma2:2b,5,20,0.8473050000000001,0.2203319086598312,0.05,0.0,20727.3,25881.86,17978.55,0.5146901982034298,2048,55,0.9802882520781333,1.144844804961184,19.0,0.8919,0.09622471385021394,0.847305,1.1102230246251565e-16
results-selected-9.05,gemma2_2b_20260509_225356.jsonl,gemma2:2b,6,20,0.669455,0.41282283631627087,0.25,0.0,22038.25,26929.260000000002,18081.449999999997,0.6658781436815229,4096,97,0.8231872646205081,1.0742765365166904,15.0,0.8926066666666668,0.13369239996919727,0.6694550000000001,1.1102230246251565e-16
results-selected-9.05,gemma2_2b_20260509_225356.jsonl,gemma2:2b,7,20,0.7646900000000001,0.3445398287265891,0.15,0.0,21753.6,25075.210000000003,17882.75,0.12407196478065288,1024,83,0.8988129240237841,1.082006541901492,17.0,0.8996352941176471,0.10943600836320098,0.76469,1.1102230246251565e-16
results-selected-9.05,gemma2_2b_20260509_225356.jsonl,gemma2:2b,8,20,0.761655,0.3435234527732614,0.15,0.0,21686.4,27555.120000000003,17608.05,0.22939811886786896,1024,149,0.9136009959741062,1.1382811352534674,17.0,0.896064705882353,0.11030707106287695,0.761655,0.0
